onset	duration	label
25.205	2.56	eyes_closed	
36.005	2.56	eyes_closed	
39.605	2.56	eyes_closed	
46.805	2.56	eyes_closed	
50.405	2.56	eyes_closed	
68.405	2.56	eyes_closed	
82.805	2.56	eyes_closed	
118.805	2.56	eyes_closed	
162.005	2.56	eyes_closed	
180.005	2.56	eyes_closed	
212.405	2.56	eyes_closed	
216.005	2.56	eyes_closed	
252.005	2.56	eyes_closed	
266.405	2.56	eyes_closed	
280.805	2.56	eyes_closed	
291.605	2.56	eyes_closed	
302.405	2.56	eyes_closed	
306.005	2.56	eyes_closed	
316.805	2.56	eyes_closed	
320.405	2.56	eyes_closed	
349.205	2.56	eyes_closed	
